method,run,minutes
RANDOM,1,132.7692451917442
RANDOM,2,102.11955042738987
RANDOM,3,122.43759256985632
RANDOM,4,119.67561369920368
RANDOM,5,117.7287402668524
RANDOM,6,128.2259764328173
RANDOM,7,134.97636916139004
RANDOM,8,120.21702006844025
RANDOM,9,119.16044554627177
RANDOM,10,114.27141624459671
RANDOM,11,126.89027397521946
RANDOM,12,113.3315907884312
RANDOM,13,119.58108812708663
RANDOM,14,136.13165327545548
RANDOM,15,133.61668499065217
RANDOM,16,114.80093621695585
RANDOM,17,141.1076553553069
RANDOM,18,121.13294118254933
RANDOM,19,134.26811384868915
RANDOM,20,129.03639038530284
RANDOM,21,145.9708889964713
RANDOM,22,136.82908097083794
RANDOM,23,114.27646617744682
RANDOM,24,129.28362058355057
RANDOM,25,109.86217949229105
RANDOM,26,147.45269825341757
RANDOM,27,121.95736565389095
RANDOM,28,123.91989654284616
RANDOM,29,125.5126704581308
RANDOM,30,104.11943790483829
RANDOM,31,125.55589883046736
RANDOM,32,141.5127848023951
RANDOM,33,120.36521754789666
RANDOM,34,107.1943984653387
RANDOM,35,125.60219172717889
RANDOM,36,119.87607139179765
RANDOM,37,119.69265325842761
RANDOM,38,134.82387814670608
RANDOM,39,118.47031076259833
RANDOM,40,144.02329216188053
RANDOM,41,138.15881771113277
RANDOM,42,132.09475284935766
RANDOM,43,125.58132176045645
RANDOM,44,134.61403606886194
RANDOM,45,144.95269718492364
RANDOM,46,127.28772818589158
RANDOM,47,129.91097138242614
RANDOM,48,136.10602351875448
RANDOM,49,138.7996475510878
RANDOM,50,124.13478748115045
RANDOM,51,143.64670750661566
RANDOM,52,121.46056090575229
RANDOM,53,132.42298052973098
RANDOM,54,127.62873502440851
RANDOM,55,107.59835664368244
RANDOM,56,140.78681795285428
RANDOM,57,113.85889775041039
RANDOM,58,138.71538616480495
RANDOM,59,123.54855853938112
RANDOM,60,137.91139653723002
RANDOM,61,132.2274556065295
RANDOM,62,116.467889928329
RANDOM,63,111.48892906594044
RANDOM,64,127.62392921957242
RANDOM,65,125.02153137337066
RANDOM,66,147.83939776552958
RANDOM,67,120.8387035941327
RANDOM,68,130.00238943323552
RANDOM,69,152.11210169301793
RANDOM,70,127.45162289479828
RANDOM,71,121.06697090730029
RANDOM,72,116.01784338726948
RANDOM,73,125.3836672549029
RANDOM,74,111.03225372286836
RANDOM,75,122.5142539950607
RANDOM,76,122.88264334120531
RANDOM,77,126.3609733921512
RANDOM,78,106.62427783868685
RANDOM,79,142.24547633026853
RANDOM,80,118.63996286056017
RANDOM,81,115.88138062102598
RANDOM,82,122.6213132089735
RANDOM,83,116.57696828260836
RANDOM,84,116.53542520596444
RANDOM,85,135.2933793622841
RANDOM,86,122.89647867772189
RANDOM,87,126.20040311068671
RANDOM,88,136.0652197833528
RANDOM,89,121.46961653906808
RANDOM,90,116.61115591428229
RANDOM,91,124.99280631110423
RANDOM,92,130.91928819399217
RANDOM,93,111.34456887960701
RANDOM,94,125.25882179872455
RANDOM,95,130.18570632493
RANDOM,96,109.89164897338962
RANDOM,97,127.95847482322567
RANDOM,98,127.77683703814326
RANDOM,99,131.5459402363367
RANDOM,100,130.63845786758856
BACK_TO_FRONT,1,195.655545069758
BACK_TO_FRONT,2,195.81808293816027
BACK_TO_FRONT,3,176.79802689129687
BACK_TO_FRONT,4,197.3326077080344
BACK_TO_FRONT,5,175.33578712445333
BACK_TO_FRONT,6,199.9483832749311
BACK_TO_FRONT,7,199.48809745698492
BACK_TO_FRONT,8,171.9405847194392
BACK_TO_FRONT,9,177.02284231574706
BACK_TO_FRONT,10,173.0254473942923
BACK_TO_FRONT,11,196.62375731543096
BACK_TO_FRONT,12,206.47781880102937
BACK_TO_FRONT,13,198.71985861600143
BACK_TO_FRONT,14,207.45790781296253
BACK_TO_FRONT,15,183.8374216842514
BACK_TO_FRONT,16,202.57188690576388
BACK_TO_FRONT,17,197.63592112356324
BACK_TO_FRONT,18,190.4603188543917
BACK_TO_FRONT,19,222.74278256721243
BACK_TO_FRONT,20,187.11935517486822
BACK_TO_FRONT,21,179.7477881618175
BACK_TO_FRONT,22,204.91560932837368
BACK_TO_FRONT,23,174.3223046205558
BACK_TO_FRONT,24,183.3506591852805
BACK_TO_FRONT,25,202.49995547030875
BACK_TO_FRONT,26,182.19176135010605
BACK_TO_FRONT,27,206.63577373415873
BACK_TO_FRONT,28,189.5216190471707
BACK_TO_FRONT,29,199.79579697884793
BACK_TO_FRONT,30,191.45421669610394
BACK_TO_FRONT,31,230.82640790538218
BACK_TO_FRONT,32,192.41325553119074
BACK_TO_FRONT,33,191.0169047253566
BACK_TO_FRONT,34,194.9190737062072
BACK_TO_FRONT,35,201.15031940763066
BACK_TO_FRONT,36,168.72238210075886
BACK_TO_FRONT,37,172.4702736355081
BACK_TO_FRONT,38,196.05760746384075
BACK_TO_FRONT,39,218.76411001367512
BACK_TO_FRONT,40,202.57268820137034
BACK_TO_FRONT,41,208.07378591431484
BACK_TO_FRONT,42,181.17445877479003
BACK_TO_FRONT,43,181.89506961351586
BACK_TO_FRONT,44,182.9907501922497
BACK_TO_FRONT,45,190.56296111976167
BACK_TO_FRONT,46,241.6475884027033
BACK_TO_FRONT,47,214.32266428877065
BACK_TO_FRONT,48,224.42539829074062
BACK_TO_FRONT,49,193.73309871136638
BACK_TO_FRONT,50,200.58492013253598
BACK_TO_FRONT,51,188.8603194181568
BACK_TO_FRONT,52,200.1454410578715
BACK_TO_FRONT,53,200.94819996294063
BACK_TO_FRONT,54,192.51525013243293
BACK_TO_FRONT,55,196.9623671195401
BACK_TO_FRONT,56,198.55046456120118
BACK_TO_FRONT,57,197.9719078529409
BACK_TO_FRONT,58,205.79526968749477
BACK_TO_FRONT,59,169.57668321920426
BACK_TO_FRONT,60,197.09484887078284
BACK_TO_FRONT,61,179.0674695765685
BACK_TO_FRONT,62,193.01935124647142
BACK_TO_FRONT,63,189.88536414124925
BACK_TO_FRONT,64,175.8246687301275
BACK_TO_FRONT,65,198.93521145054834
BACK_TO_FRONT,66,182.57984903808733
BACK_TO_FRONT,67,182.0958139189993
BACK_TO_FRONT,68,174.35081416193805
BACK_TO_FRONT,69,169.93030146581398
BACK_TO_FRONT,70,187.577870957158
BACK_TO_FRONT,71,181.58267495115516
BACK_TO_FRONT,72,182.85935873987162
BACK_TO_FRONT,73,182.51759897909923
BACK_TO_FRONT,74,188.30166661944702
BACK_TO_FRONT,75,193.7315251419378
BACK_TO_FRONT,76,183.78471672172313
BACK_TO_FRONT,77,196.8991413531064
BACK_TO_FRONT,78,198.20868699993244
BACK_TO_FRONT,79,188.96862913950122
BACK_TO_FRONT,80,185.89151523167894
BACK_TO_FRONT,81,184.27322721262578
BACK_TO_FRONT,82,195.84186782908478
BACK_TO_FRONT,83,198.24536214659597
BACK_TO_FRONT,84,207.99053441380462
BACK_TO_FRONT,85,184.0882225505649
BACK_TO_FRONT,86,179.83469899674324
BACK_TO_FRONT,87,190.1657469039034
BACK_TO_FRONT,88,177.64692792344184
BACK_TO_FRONT,89,192.4411893359817
BACK_TO_FRONT,90,190.91529121772405
BACK_TO_FRONT,91,192.43414389205276
BACK_TO_FRONT,92,207.12680541703148
BACK_TO_FRONT,93,206.10388453668756
BACK_TO_FRONT,94,204.76066294535863
BACK_TO_FRONT,95,175.65630353564364
BACK_TO_FRONT,96,196.16086113321253
BACK_TO_FRONT,97,197.14311295508415
BACK_TO_FRONT,98,188.20877136545866
BACK_TO_FRONT,99,180.89214809563688
BACK_TO_FRONT,100,195.25954778965578
FRONT_TO_BACK,1,246.21145841469695
FRONT_TO_BACK,2,234.81425681391795
FRONT_TO_BACK,3,240.60907558825582
FRONT_TO_BACK,4,269.74940791720564
FRONT_TO_BACK,5,228.62029639099921
FRONT_TO_BACK,6,244.34846085671805
FRONT_TO_BACK,7,244.06001619044605
FRONT_TO_BACK,8,251.15258766502782
FRONT_TO_BACK,9,235.72354738567435
FRONT_TO_BACK,10,250.82912325679192
FRONT_TO_BACK,11,240.98482774563288
FRONT_TO_BACK,12,267.16797548472806
FRONT_TO_BACK,13,248.80586349977523
FRONT_TO_BACK,14,241.1907593173836
FRONT_TO_BACK,15,261.044454560351
FRONT_TO_BACK,16,228.47427373139124
FRONT_TO_BACK,17,252.84512348795653
FRONT_TO_BACK,18,254.58267509968277
FRONT_TO_BACK,19,253.83584013442348
FRONT_TO_BACK,20,240.52941706070976
FRONT_TO_BACK,21,259.63013117378705
FRONT_TO_BACK,22,256.50534344840406
FRONT_TO_BACK,23,255.49962466159863
FRONT_TO_BACK,24,258.73101679675614
FRONT_TO_BACK,25,219.2300063431792
FRONT_TO_BACK,26,260.60501384056886
FRONT_TO_BACK,27,253.43602740426897
FRONT_TO_BACK,28,246.34981930293833
FRONT_TO_BACK,29,263.69946645150674
FRONT_TO_BACK,30,266.39769359483444
FRONT_TO_BACK,31,268.67027473202137
FRONT_TO_BACK,32,261.5132862529644
FRONT_TO_BACK,33,257.2761679524987
FRONT_TO_BACK,34,245.77965827894477
FRONT_TO_BACK,35,251.87089671669307
FRONT_TO_BACK,36,219.09994144913946
FRONT_TO_BACK,37,258.77775674576225
FRONT_TO_BACK,38,248.7372089816357
FRONT_TO_BACK,39,240.18002224163052
FRONT_TO_BACK,40,244.39217180965184
FRONT_TO_BACK,41,236.49386495677746
FRONT_TO_BACK,42,271.67519374468026
FRONT_TO_BACK,43,239.3416892672855
FRONT_TO_BACK,44,234.45840220050945
FRONT_TO_BACK,45,230.90788281201085
FRONT_TO_BACK,46,243.2433957738877
FRONT_TO_BACK,47,256.4203492932797
FRONT_TO_BACK,48,237.34428363215582
FRONT_TO_BACK,49,225.61915160877334
FRONT_TO_BACK,50,267.61542077588774
FRONT_TO_BACK,51,257.43642832083304
FRONT_TO_BACK,52,240.42015150434196
FRONT_TO_BACK,53,243.78550707191314
FRONT_TO_BACK,54,229.54532091317634
FRONT_TO_BACK,55,283.8672617662408
FRONT_TO_BACK,56,242.16377543191481
FRONT_TO_BACK,57,262.17026701591817
FRONT_TO_BACK,58,280.29999303373495
FRONT_TO_BACK,59,235.7988454983242
FRONT_TO_BACK,60,230.65487423946504
FRONT_TO_BACK,61,255.89266432541706
FRONT_TO_BACK,62,249.47287865063035
FRONT_TO_BACK,63,246.41897746937798
FRONT_TO_BACK,64,206.8838601135773
FRONT_TO_BACK,65,233.000717150821
FRONT_TO_BACK,66,244.974245528124
FRONT_TO_BACK,67,254.66066777611442
FRONT_TO_BACK,68,212.44954363813218
FRONT_TO_BACK,69,261.0666078227222
FRONT_TO_BACK,70,268.2239202784476
FRONT_TO_BACK,71,244.74545810368954
FRONT_TO_BACK,72,239.28641488601113
FRONT_TO_BACK,73,275.20091358510564
FRONT_TO_BACK,74,248.8457474193675
FRONT_TO_BACK,75,253.48405511442016
FRONT_TO_BACK,76,244.20726211637754
FRONT_TO_BACK,77,256.4353959059854
FRONT_TO_BACK,78,238.73663003817137
FRONT_TO_BACK,79,261.85649668560654
FRONT_TO_BACK,80,219.05507190066274
FRONT_TO_BACK,81,262.66748407895756
FRONT_TO_BACK,82,265.98774958011006
FRONT_TO_BACK,83,245.65863893178735
FRONT_TO_BACK,84,232.31592532805595
FRONT_TO_BACK,85,265.6839287086592
FRONT_TO_BACK,86,247.7821549074508
FRONT_TO_BACK,87,229.0708948027847
FRONT_TO_BACK,88,234.58777247976957
FRONT_TO_BACK,89,257.9505215089343
FRONT_TO_BACK,90,226.53538048907797
FRONT_TO_BACK,91,227.93270213957973
FRONT_TO_BACK,92,274.50409676647354
FRONT_TO_BACK,93,266.7635773697387
FRONT_TO_BACK,94,209.22248760902846
FRONT_TO_BACK,95,221.70260493556412
FRONT_TO_BACK,96,225.6491951855887
FRONT_TO_BACK,97,238.2514876827046
FRONT_TO_BACK,98,231.51253264905188
FRONT_TO_BACK,99,246.68048031161445
FRONT_TO_BACK,100,255.25643343553733
BLOCKS_K2,1,74.63803244667523
BLOCKS_K2,2,68.59639880121998
BLOCKS_K2,3,82.20233521130339
BLOCKS_K2,4,79.55330729660479
BLOCKS_K2,5,77.38546740034246
BLOCKS_K2,6,72.9560737070797
BLOCKS_K2,7,77.81961084673736
BLOCKS_K2,8,65.84858988994014
BLOCKS_K2,9,84.3194436347718
BLOCKS_K2,10,70.95474929011998
BLOCKS_K2,11,89.78671842477418
BLOCKS_K2,12,88.07516753005002
BLOCKS_K2,13,79.3360488724487
BLOCKS_K2,14,73.84268155713124
BLOCKS_K2,15,73.55379445738087
BLOCKS_K2,16,88.04799509653931
BLOCKS_K2,17,66.75843826325269
BLOCKS_K2,18,88.71688463159279
BLOCKS_K2,19,72.7806417348051
BLOCKS_K2,20,68.92310277809571
BLOCKS_K2,21,74.99239837282931
BLOCKS_K2,22,78.88408904302955
BLOCKS_K2,23,72.44524819378928
BLOCKS_K2,24,76.43960951320935
BLOCKS_K2,25,70.64711901257157
BLOCKS_K2,26,76.00183231191333
BLOCKS_K2,27,79.87862060843099
BLOCKS_K2,28,75.5292751268721
BLOCKS_K2,29,57.93540645780667
BLOCKS_K2,30,83.29547412924295
BLOCKS_K2,31,91.29227548613284
BLOCKS_K2,32,71.76776938565469
BLOCKS_K2,33,86.62371812228781
BLOCKS_K2,34,77.23877331726412
BLOCKS_K2,35,68.0761144479076
BLOCKS_K2,36,74.50344174426311
BLOCKS_K2,37,86.07065236310979
BLOCKS_K2,38,79.02987197306986
BLOCKS_K2,39,79.70474469230251
BLOCKS_K2,40,79.38218195758236
BLOCKS_K2,41,75.80023311428396
BLOCKS_K2,42,81.51627124623408
BLOCKS_K2,43,66.17280362919547
BLOCKS_K2,44,74.40414619899285
BLOCKS_K2,45,80.09518537687167
BLOCKS_K2,46,68.32420104998495
BLOCKS_K2,47,85.68161064486938
BLOCKS_K2,48,77.96023106887917
BLOCKS_K2,49,79.61675162169988
BLOCKS_K2,50,72.32144473283563
BLOCKS_K2,51,82.84723282381375
BLOCKS_K2,52,79.61702549706189
BLOCKS_K2,53,76.54965773521691
BLOCKS_K2,54,82.45887782109037
BLOCKS_K2,55,68.13519092987916
BLOCKS_K2,56,83.34855562327031
BLOCKS_K2,57,75.0138543781454
BLOCKS_K2,58,73.39374237512696
BLOCKS_K2,59,75.10154876245002
BLOCKS_K2,60,71.63385628656063
BLOCKS_K2,61,69.95728953936153
BLOCKS_K2,62,69.1655807034731
BLOCKS_K2,63,61.02424190788268
BLOCKS_K2,64,70.80401366519149
BLOCKS_K2,65,87.96774797371548
BLOCKS_K2,66,88.4361804687347
BLOCKS_K2,67,70.73300612002133
BLOCKS_K2,68,79.41487895734731
BLOCKS_K2,69,76.53377711278212
BLOCKS_K2,70,76.84882575367493
BLOCKS_K2,71,74.97917712374611
BLOCKS_K2,72,72.05187225829717
BLOCKS_K2,73,71.83243810550185
BLOCKS_K2,74,77.01497177899218
BLOCKS_K2,75,76.34750399344895
BLOCKS_K2,76,66.11310955968015
BLOCKS_K2,77,79.27395225947869
BLOCKS_K2,78,71.60354645176488
BLOCKS_K2,79,81.18857362170934
BLOCKS_K2,80,67.63429417829258
BLOCKS_K2,81,73.82174057328871
BLOCKS_K2,82,79.43151578211744
BLOCKS_K2,83,69.50602490051743
BLOCKS_K2,84,75.85468604544607
BLOCKS_K2,85,94.73803258943045
BLOCKS_K2,86,70.27429893619596
BLOCKS_K2,87,75.11916874861602
BLOCKS_K2,88,78.69290041479118
BLOCKS_K2,89,68.11942543980224
BLOCKS_K2,90,70.54954024091911
BLOCKS_K2,91,69.24776414752726
BLOCKS_K2,92,69.3318070239347
BLOCKS_K2,93,80.50554225744891
BLOCKS_K2,94,76.49398466004384
BLOCKS_K2,95,76.68153155130592
BLOCKS_K2,96,77.81106769389292
BLOCKS_K2,97,79.4485996355315
BLOCKS_K2,98,74.41294085913094
BLOCKS_K2,99,74.4091689283088
BLOCKS_K2,100,73.46142436764738
